Index,Content,True_Label,Predicted_Label
1479,sống ta sợ bắc gọi lạ toàn tiếng bắc gọi,1.0,0.0
7985,em miền tây góc bè bắc trung nam em cx xấu phiên biệt,0.0,2.0
1534,parky cụm ngứa lỗ_đít,0.0,1.0
7889,bắc kỳ trung kỳ nam kỳ phân_biệt miền,1.0,0.0
6195,cali cay lắm mấy thằng tiếng việt phân_biệt miền vả mồm học khổ đấy,1.0,0.0
1328,không miền bắc giờ miền nam bọn cambodia,1.0,0.0
10152,nể mấy miền nam mê xổ giàu đất,1.0,0.0
2625,tui miền nam không bao parky,0.0,1.0
1018,đường nam kỳ khởi_nghĩa đường khởi_nghĩa no cãi chi,0.0,1.0
8148,không người bắc bọn miền nam chó sai hầu_hạ mỹ pháp,1.0,0.0
2223,hồ dạy gương hồ hy_sinh hùng tác_dụng,0.0,2.0
6193,parky loạn_ngôn ngữ,0.0,1.0
8074,yêu tổ_quốc yêu đồng_bào,0.0,2.0
7126,wel done,0.0,1.0
7912,xoá tik tok việt_nam,0.0,2.0
5968,bình_luận chữ parky nhấn báo_cáo đừng bình_luận tương_tác nick,0.0,1.0
1182,cali gì đứng pải ht đừng thiên kẽo rướt hoạ thân,0.0,1.0
7745,bọn chặn anh em băc,0.0,2.0
7487,bắc phân_biệt miền,1.0,0.0
7166,parky,0.0,1.0
2553,coment toàn xiao,0.0,1.0
8466,mày không namky,1.0,0.0
3257,sinh_vật nghĩa video không dám,0.0,1.0
8165,không nhiên li,0.0,1.0
2658,mik parky,0.0,1.0
1078,park,0.0,1.0
8134,xảy chiến_tranh miền nam trống parky nhảy_múa hát công an,0.0,1.0
7864,xe chạy miền nam xe trái_tim,0.0,2.0
16413,phân biệt vùng miền,2.0,0.0
2193,vện cali táp ghê,0.0,1.0
2749,toàn parky online,1.0,0.0
6917,xdc xd xdc parky xd xde,0.0,1.0
4091,sinh_vật phân_tích kỹ nha vi_khuẩn sán nhặn không,0.0,1.0
7609,sợ phản_động chia tách đất đầu_não nam người bắc thay loạt xong tất_nhiên việt nam phản_động,0.0,2.0
9048,bắc trung nam,1.0,2.0
2474,parky giúp đi miền nam,0.0,1.0
6496,parky bơ không tim chửi cx đừng namky khịa,0.0,1.0
6503,dạo tiktok phân_biệt miền,0.0,2.0
4414,đi phân_biệt,0.0,1.0
6492,parky công_viên tiếng séc,0.0,1.0
5807,khiếp video mày parky cali,0.0,1.0
8462,hào người parky,0.0,1.0
1418,miền nam hok parky nhoa,0.0,1.0
9708,mãi idol chuẩn mk mong mấy sinh_vật kia spam anh em chửi chán,1.0,0.0
6550,chỗ bắc ghét không hoà_đồng sâu rầu nồi canh,0.0,1.0
6298,park,0.0,1.0
6606,tym việt_nam,0.0,2.0
4142,bồn kylark anh em,1.0,2.0
1889,chủ yêu đừng sân_si giau nghèo đừng đụng_chạm vh nây sống suôt chê_bai ta,0.0,2.0
1013,miền chỗ,0.0,2.0
7121,parking,1.0,0.0
1845,phân biệt vùng miền,2.0,0.0
2124,rồi giờ tôi không parky parky tap chấm,0.0,1.0
1884,đa sống miền bắc hơi láo kg đói tội no mồm to nội del dân miền nam kg phân_biệt,0.0,1.0
8162,mãi video vấn_đề không vô_học đi lướt parky namky,0.0,1.0
8485,đoàn_kết đoàn_kết đại_đoàn_kết thành_công thành_công đại thành_công,0.0,2.0
6048,anh em phân biệt vùng miền bắc trung cali nhe,1.0,0.0
536,đồng_nghiệp phân_biệt miền,0.0,2.0
5997,miền bắc chào,0.0,2.0
7419,lũ vô_học parky,0.0,1.0
7723,parky namky giải_phóng được không,0.0,1.0
5563,ok parky tao thằng parky đi giúp_đỡ hoàn_cảnh khăn chờ ta giúp cướp nghèo ok nha parky,0.0,1.0
8027,spam parky cuốt mej cali hộ,0.0,1.0
11604,cali cay lắm mấy thằng tiếng việt phân_biệt miền vả mồm học khổ đấy,1.0,0.0
5933,kêu parky chửi_bới bọn nhảy_dựng giải thichd,1.0,0.0
5333,không trẻ bọn cali giựt dây,0.0,1.0
10893,cay,1.0,0.0
7947,hào người parky,0.0,1.0
1057,nể mấy miền nam mê xổ giàu đất,1.0,0.0
1129,sinh bắc tử nam bớt bớt bớt,0.0,2.0
6669,lỗi việt_nam khmer đỏ yêu việt_nam,0.0,2.0
9001,lý ghét nhiên phân biệt vùng miền,1.0,0.0
2476,parky tụi bây,0.0,1.0
5771,mày dạy không mày nghĩa yêu tổ_quốc yêu đồng_bào không,0.0,2.0
3020,parky,0.0,1.0
7559,hào parky,0.0,1.0
723,mấy đứa kali,1.0,0.0
12943,phân biệt vùng miền,2.0,0.0
989,giải_phóng,0.0,1.0
3921,trung kì vậy,1.0,0.0
4026,tao tayduky nè,0.0,1.0
5120,miền nam giờ thk nt parky miền nam lơ không được mục_đích chán dần rồi,0.0,1.0
4040,sinh_vật_thể chuẩn,1.0,0.0
2095,hiếu culi,0.0,1.0
2517,tôi parky chửi đi,0.0,1.0
7683,miền bắc đẻ miền nam,1.0,2.0
4313,chiến_tranh anh em thời_bình sân_si,0.0,2.0
4069,được video thấm bữa giờ sinh_vật không,0.0,1.0
9378,bắc phân_biệt miền,1.0,0.0
1785,bắc triều_tiên nam hàn_quốc,0.0,2.0
1915,parky kệ lun,0.0,1.0
7286,ho mấy thằng bình luận,0.0,1.0
5946,đủng vy việt_nam dân_tộc,0.0,2.0
4115,xấu tuỳ liên_quan miền bắc trung nam,0.0,2.0
214,thằng tây nội đi chia_sẻ,1.0,0.0
3055,mồ_côi mẹ parky,0.0,1.0
7157,parky namky quốc_gia,0.0,1.0
1204,parky không ma keu namky thi không,0.0,1.0
8296,cali,0.0,1.0
971,tui kh tiền chết phân_biệt miền kh,0.0,2.0
5284,hồi miền bắc xâm_lược miền nam,0.0,2.0
7112,paczki,1.0,0.0
1001,parky nghĩa gị,0.0,1.0
7941,cali bảo_vệ đất an_khang am from vietnam,0.0,1.0
5595,tao cháu hồ dân việt_nam phân_chia,0.0,2.0
6082,bảo cụ xưa gọi chó kiki công chó ngoan với khôn lắm,0.0,1.0
5773,miền bắc parky trở,0.0,1.0
5920,cuoc chien cua nhung dua tre,0.0,1.0
7674,thử parky,0.0,1.0
5007,bất_lực không parky coi đồng_bào phản_quốc,0.0,1.0
