sentence,label
ok quan,khác
chuẩn đấy,khác
không đăng tiktok tảng trẩu không não không,khác
nè tao tụi bây nè hồi đi không chiến_tranh xảy hồ bát hồ dạy yêu tổ_quốc yêu đồng_bào giờ,ủng hộ
kệ ta sống lý_tưởng hồ vĩ_đại,khác
yêu tổ_quốc yêu đồng_bào,ủng hộ
chia buồn gia_đình cali mấy bọn cali xiao xiao,khác
parky,phân biệt
dính bẫy bọn phản_động bắc trung nam kỳ đất việt_nam bọn việt giang khe hở miền chia rẻ ta,ủng hộ
parky namrky,phân biệt
narky chào,phân biệt
parky namkiki trungki anh_em ta monkey,phân biệt
miền nam miền nam miền bắc miền bắc parky không cali,ủng hộ
tôi highlandky,khác
tây nội_địa,phân biệt
nam bắc đoàn_kết anh_em tất_nhiên anh_em_hoá hồ dạy,ủng hộ
party,phân biệt
nam bắc,ủng hộ
,khác
chó parky,khác
miền nam tiếc bình_luận tiêu_cực vầy thành lỗi miền bắc_nam bắc,khác
tổ_tiên ta hy_sinh độc_lập lãnh_thổ bây phân_biệt miền buồn,ủng hộ
bắc toàn_tài toàn cai_trị đất sài_gòn vậy giàu toàn bắc miền nam toàn thuê ghê,phân biệt
chx bao chat chữ đơn_giản biết phân_biệt miền,khác
ta hoà đi bắc trung nam gia_đình đừng chia_rẽ dân_tộc,ủng hộ
bình_luận toàn lũ cali,phân biệt
toàn mấy đứa tôn_thờ thằng chồn lúa trộm chó đóng đinh treo tường,phân biệt
xém chút parky thành triều_tiên,phân biệt
người miền nam thợ_săn parky ngại,phân biệt
dăm bọn namky đua xe đội mũ,phân biệt
parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
đối tôi việt_nam không không bắc trung nam,ủng hộ
trung nam bắc la nha,ủng hộ
kh nổi namky parky ta người đất việt_nam hồ dạy đi_đồng bào đồng,ủng hộ
toàn trung_niên dạy bọn nít học bé gì,khác
cường thua cin parky namky không gì nx,khác
bắc yêu_quý toàn dân_tộc khắp miền tổ_quốc,khác
bắc_nam ơn vị hùng nằm,ủng hộ
bắc nhiệt_tình gái thương cực,ủng hộ
không việt_nam miền,khác
mấy thằng phân_biệt vùng miền sỉ nhuc tổ_tiên,khác
bắc nhiệt_tình gái thương cực,ủng hộ
đi nam tưởng thân_thiện ngờ,phân biệt
đừng phân_biệt vùng miền nx dân_tộc,khác
stoping phân_biệt vùng miền,ủng hộ
nam bắc,ủng hộ
tôi miền nam ngưỡng_mộ bắc giỏi,ủng hộ
người không phản_quốc không thức được đag ns parky namky nx,khác
yêu tổ_quốc yêu đồng_bào học_tập lao_động lao_động kỉ_luật gìn vệ_sinh khiêm_tốn dũng_cảm đấy,ủng hộ
tiếp_thu nghĩa vd biến thành ngòi_nổ,khác
nha việt ta dòng dòng máu ok giải_phóng miền nam miền bắc chiến_sĩ hai miền giúp_đỡ,ủng hộ
ta trở độc_hại,khác
parky chửi cali mỹ nail parky mong mỹ kiếm sống,phân biệt
chống_chế gọi nam_trung kỳ đấy phản_ứng quan_trọng miệt_thị,khác
,khác
tui nè miền bắc dth lắm,ủng hộ
đọc coment tao chửi thề đit me trung ngại dùm duma đéo học_thức parky namki rảnh_rỗi đi học đạo_đức lớp,khác
parky tiếng,phân biệt
tui mấy em nè tôi thành_phố hồ_chí_minh hiệu không bắc xấu tui da co may em mien bắc choi nét sony tầng_lớp,ủng hộ
bắt gom,khác
bình_luận vô_học,khác
tui bắc dặn đừng gì bắc hứa,phân biệt
parky parky namky trungky cái gì parky namky nhiễu phủ giá gương người thw,ủng hộ
ghét pky huống miền nam,phân biệt
miệng việt_nam phân_biệt màu_da phân_biệt màu_da phân_biệt miền,phân biệt
nam bắc ta dòng máu việt_nam,ủng hộ
toàn mấy đứa tôn_thờ thằng chồn lúa trộm chó đóng đinh treo tường,phân biệt
đụ_mẹ tik tok lol tôi bình_luận bth khịa bokn parky báo vi_phạm tụi kia chửi thề không sai câu tả ocs chos tiktok,khác
bakecho,phân biệt
phân_biệt lợi_lộc,khác
ngoan_ngoãn an_nhàn mày may_mắn không khôn_ngoan yêu_thương,khác
parky cay,phân biệt
parky cay,phân biệt
em không pk người miền bắc sống miền bắc sôi_máu giờ bớt rùi cảm_ơn,khác
parky,phân biệt
sống nha sống dân người ta miệt_thị rồi than với khóc,phân biệt
phân_biệt vùng miền,ủng hộ
mày vô_học ah xong đổ lá khoai,khác
bắc_nam,ủng hộ
trung_bình cali bình_luận parky cay,phân biệt
ghét parky ta,phân biệt
bắc sống miền nam nam gọi bao kia,khác
trung nam bắc la nha,ủng hộ
bắc trung nam,ủng hộ
parky parky phóng_khoáng an_nhàn rồi rực_rỡ không khôn_ngoan yêu_thương,khác
namky an_nhàn mày mẽ không kính_yêu yêu_thương,khác
bao_che parky parky namky không bao tiếng nhò,phân biệt
trẻ cận huyết,khác
bắc trung nam đừng phân_biệt vùng miền,ủng hộ
parky,phân biệt
củng xấu đaklak bmt nam bắc trung ah em đồng_bào vui_vẻ hoà_đồng chả phân_biệt,ủng hộ
yêu tổ_quốc yêu đồng_bào,ủng hộ
miền bắc mùa đông_lạnh kinh phết,khác
phân_biệt miền vậy,khác
namkiki,phân biệt
demenphieuluky nè,khác
miên nam khinh_bỉ phân_biệt miền bắc_nam,ủng hộ
nice ky gọi vui gi fau,phân biệt
bọn culi,phân biệt
chào park,khác
yêu bắc trung nam,ủng hộ
bắc trung nam anh_em,ủng hộ
chào anh_em bắc trung nam lành,ủng hộ
khả_năng giải_phóng miền nam,khác
parky cay,phân biệt
trẻ không suy vậy suy lỗi đất hi_sinh bắc trung nam đi,ủng hộ
parky cay,phân biệt
tao cháu hồ dân việt_nam phân_chia,khác
học chán_chê nhét bao_nhiêu chữ đầu hồ dạy lưu_tâm,khác
phân bám rồi rơm_rạ không kì_cục kì_quặc,phân biệt
vậy tụ trẻ,khác
tưởng miền nam_đông dân dân_trí anh_em miền bắc hỏng hệ,khác
yêu tổ_quốc yêu đồng_bào,ủng hộ
parky cay lí_giải,phân biệt
việt_nam anh_em miền,ủng hộ
bắc trung nam việt_nam no tào_lao chia rẻ dân_tộc việt_nam mấy coi_chừng tụi chia,ủng hộ
miền bắc miền nam gank miền trung kiểu nh mày đồng_bào vậy không miền bắc miền nam bây_giờ không tồn,ủng hộ
bọn chấp,khác
đừng miệt_thị được không,ủng hộ
parky tiếng,phân biệt
miền người gái miền tây rồi cười kiểu tui không phân_biệt đừng phân_biệt tui được,khác
